location,category,doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150804182912.E2S8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.180502131525.H3H8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.130426170856.R2Y2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140920123838.R6S2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.231205235026.B3H6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140429000751.K2B2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.230326142305.W6M4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.160219104505.G5V5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170113210157.S3W3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.130418211515.F3S6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170124225606.A9W5
