location,category,doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220421015953.Z7L5
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230710180603.A6J4
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230710180608.M2J5
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221108224424.D5J2
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230624200246.S7B4
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220426151749.F9H8
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220420224627.W9C6
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220421011306.F2N8
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220421011148.V1E8
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020232354.I4Z1
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.220421015844.M6W7
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020232241.D9A9
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020232318.Y7M3
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.221020213524.P3X8
Bangalore,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Bangalore/viewid-080PXX80.XX80.230710180614.B2R8
